Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
65,Market Mall/Downtown West,0,252,62,14.23076923,18.42474747,347000,729,8794.166667,33.36410033183208,0.0021008645533141202,475.3424657534247,3.647334293948125e-16,0.2603065883887802,11.700781268851754,1,False
98,Cougar Ridge,0,266,59,11.07894737,12.21760443,0,233,8019.666667,27.07775344275666,2330000000000.0,0.0,0.4045138888888889,0.0,13.53090478804818,1,False
1,Bowness/Forest Lawn,2,482,94,10.07261905,10.27776479,740550,2705,15412.5,38.74150506373681,0.0036526905678212133,273.669623059867,6.341476680245162e-16,0.1498666983423081,31.854060078233044,2,True
156,Aspen Woods,0,254,58,11.03216374,12.22523745,0,120,7485.833333,26.558262469392336,1200000000000.0,0.0,0.20833333333333334,0.0,6.968706328608505,1,False
26,Sarcee Trail Crosstown,0,224,58,15.67532468,17.98571429,332020,652,7574.333333,32.70943066055373,0.0019637371242696216,508.4532924961715,3.409265840745871e-16,0.2784387077955225,10.922974740563673,1,False
74,Tuscany,0,146,32,15.0,15.55555556,42000,22,4728.0,25.57055471927012,0.0005238095238095225,1826.0869565217392,9.093915343915321e-17,1.0,1.019529090736672,1,False
158,Royal Oak,0,131,26,17.0,17.42,42000,109,4051.666667,25.3675051441919,0.002595238095238089,381.8181818181818,4.505621693121682e-16,0.20909090909090908,1.5405911789778486,1,False
201,Red Line,0,2806,558,2.40819209,2.760147374,921140,2129,74068.83333,65.41765470238838,0.0023112664741515945,432.4600938967136,4.012615406513185e-16,0.2368233847529622,32.22145326244023,0,False
174,Tuscany,0,60,16,29.66666667,29.63157895,0,22,2506.333333,25.16661800794698,220000000000.0,0.0,0.03819444444444445,0.0,1.2775961602448926,1,False
169,Rocky Ridge,0,130,26,15.63636364,17.45833333,0,51,4028.5,24.708959811670546,510000000000.0,0.0,0.08854166666666667,0.0,2.961700189658614,1,False
108,Paskapoo Slopes,0,234,56,17.54166667,18.95639535,231000,364,7751.333333,30.23541065993379,0.0015757575757575752,632.8767123287671,2.735690235690235e-16,0.3465753424657534,7.0627903144839115,1,False
70,Valley Ridge Express,0,8,4,40.0,48.0,893000,1865,1396.166667,45.33678700983354,0.0020884658454647254,478.5637727759914,3.6258087594873703e-16,0.2620706374725667,30.045495942738693,0,False
