Route_Short_Name,Route_Long_Name,Number_of_Bus-Only-Lanes,daily_trips,peak_trips,peak_headway_minutes,non_peak_headway_minutes,Traffic_Volume,Incidents,estimated_riders,priority_metric,incident_to_volume_ratio,volume_to_incident_ratio,normalized_incident_ratio,normalized_volume_ratio,flow_impedance,Cluster,Has_Bus_Lane
300,BRT Airport/City Centre,2,354,66,13.74285714,14.25694444,729790,1880,9916.166667,33.415496655924656,0.0025760835308787453,387.979797979798,4.472367241108933e-16,0.21246512746512744,26.685516807174377,2,True
302,BRT Southeast/City Centre,2,422,94,10.28571429,11.95756579,551670,1919,12564.83333,33.1278880490362,0.003478528830641506,287.328125,6.039112553197059e-16,0.15734635416666665,23.154121913673844,2,True
307,MAX Purple City Centre/East Hills,2,430,98,9.468379447,11.13703704,385100,1825,12578.83333,31.079211175309762,0.004739028823682159,210.89813800657174,8.227480596670415e-16,0.11549183747978928,19.070296561850792,2,True
78,Sundance/Chaparral,0,328,80,11.92973856,15.83437407,281920,463,10643.83333,32.17947009875187,0.0016423098751418834,607.5862068965517,2.851232422121325e-16,0.33272577996715924,8.732033944013896,1,False
67,Memorial Dr E,1,296,64,14.89285714,15.18096055,40000,581,8489.833333,24.952930241842065,0.014524999999999963,68.72852233676976,2.5217013888888824e-15,0.037637047946326295,4.325228154179691,1,True
136,Corner Meadows / Cornerbrook,0,160,34,18.5,19.97674419,133000,595,5079.333333,28.827174056830184,0.004473684210526313,223.15436241610738,7.766812865497071e-16,0.1222035794183445,6.374845381463374,1,False
106,Southland/Deerfoot Meadows,0,76,24,34.8,42.36363636,215560,675,2819.5,30.939540278553068,0.003131378734459082,318.8757396449704,5.436421413991462e-16,0.17462242885319806,8.599077761045255,1,False
20,Heritage Station/Northmount Dr N,0,428,112,8.208333333,12.2527482,1099000,2715,14828.16667,51.44701089415147,0.002470427661510464,404.63917525773195,4.2889369123445553e-16,0.22158811978399606,39.49061458819114,0,False
24,Ogden,0,294,64,14.5,16.34617985,529980,984,9862.0,36.20860621574713,0.0018566738367485562,538.0507614213197,3.223392077688466e-16,0.2946468455402465,17.095733906542886,0,False
17,Renfrew/Ramsay,0,212,54,17.16666667,20.59107143,474000,1126,7547.333333,36.026426287631395,0.002375527426160337,420.5856255545697,4.124179559306141e-16,0.2303206997084548,16.762937456136058,0,False
3,Sandstone/Elbow Dr SW,2,600,158,6.214285714,9.098646724,810000,2005,19694.66667,39.16105002391267,0.0024753086419753083,403.7886340977069,4.297410836762688e-16,0.22112234724398233,29.12959142379423,2,True
64,MacEwan Express,2,22,14,19.5,21.0,442000,1595,2021.5,33.87670868910931,0.0036085972850678724,276.9423558897243,6.264925842131723e-16,0.15165890917770616,18.89548801324755,2,True
109,Harvest Hills Express,2,10,6,47.5,30.0,515000,1637,1411.333333,34.036391820524074,0.0031786407766990284,314.4078144078144,5.518473570658035e-16,0.1721757078899936,20.690057543956552,2,True
88,Harvest Hills,0,148,38,20.0,29.64285714,101000,201,4809.833333,27.5365930177501,0.001990099009900988,500.0,3.455033003300326e-16,0.2738095238095238,3.3386995919986875,1,False
42,Marlborough,1,198,48,9.681818182,13.73239437,40000,727,6391.333333,25.275247242581024,0.018174999999999955,54.94505494505494,3.1553819444444365e-15,0.030088958660387227,5.199654187320057,1,True
71,Taradale,0,422,98,9.657114625,12.05263158,0,402,12362.0,29.326322005341936,4020000000000.0,0.0,0.6979166666666666,0.0,23.345166200838488,1,False
61,Martindale,0,144,26,16.54545455,17.27272727,0,231,4530.166667,25.279106529801926,2310000000000.0,0.0,0.4010416666666667,0.0,13.414759682571372,1,False
59,Savanna,0,170,34,12.73333333,13.85714286,0,183,4932.0,25.528765831725863,1830000000000.0,0.0,0.3177083333333333,0.0,10.627277151127968,1,False
85,Martin Crossing,0,340,72,14.08894231,13.63482863,0,273,9754.333333,27.638900840278495,2730000000000.0,0.0,0.4739583333333333,0.0,15.853806897584347,1,False
159,Saddlebrook,0,283,78,6.222222222,10.20618557,0,259,8610.666667,28.23408594005312,2590000000000.0,0.0,0.4496527777777778,0.0,15.04079115924669,1,False
153,Copperfield,0,298,93,9.017857143,14.140625,385140,711,10101.66667,35.1757584863622,0.0018460819442280723,540.9269662921348,3.205003375395959e-16,0.29622191011235954,12.39915163628166,1,False
14,Bridlewood/Cranston,0,468,132,7.115,11.77130326,331500,706,15090.66667,35.724974543578284,0.00212971342383107,468.8826025459689,3.6974191385956077e-16,0.2567690442513639,11.235401196599666,1,False
152,New Brighton,0,76,24,20.0,19.7826087,0,86,2724.833333,26.278921957210443,860000000000.0,0.0,0.14930555555555555,0.0,4.994239535502762,1,False
23,52 St E,4,617,138,7.053274682,8.942969755,252620,2619,19123.83333,26.902194997928408,0.010367350170216132,96.41984732824427,1.7998871823291894e-15,0.0528013449654671,21.025468325868747,2,True
142,Panorama Express,2,12,6,30.0,25.0,543000,1797,1618.833333,33.43839873520208,0.0033093922651933694,302.00222469410454,5.745472682627377e-16,0.16538217066581914,22.240176824651297,2,True
28,Deer Run,0,139,32,14.28571429,16.03921569,0,188,4728.333333,25.966190464727195,1880000000000.0,0.0,0.3263888888888889,0.0,10.91763991481999,1,False
145,West Skyview Ranch / Redstone,0,296,72,7.0625,9.435185185,67000,525,9281.0,29.70347472907855,0.007835820895522375,127.3764258555133,1.3603855721393013e-15,0.06975375701611443,4.560538751383258,1,False
41,Lynnwood,0,75,22,16.5,16.37931034,630760,1719,3239.0,39.272768174088924,0.00272528378464075,366.72093023255815,4.731395459445747e-16,0.2008233665559247,23.628026456610332,0,False
